Name,Description,Strengths,Weaknesses,Height,Weight,40 time,RAS
Travis Hunter,"Hunter is a rare two-way talent who excels at both cornerback and wide receiver. As a cornerback, he displays elite ball skills, exceptional mirroring ability, and natural instincts in coverage that can't be taught. His fluid hip movement allows him to transition seamlessly from backpedal to sprint, and he possesses the closing speed to erase separation. As a receiver, Hunter shows tremendous route-running precision, reliable hands, and excellent body control to make contested catches. His two-way versatility makes him one of the most unique prospects in years, with the ability to potentially contribute on both sides of the ball at the next level.","Elite athleticism, exceptional ball skills, fluid transitions, route-running precision, two-way versatility, competitive toughness, game-breaking ability, football IQ","Slender frame that may need additional strength for NFL physicality, potential durability concerns with two-way responsibilities, will likely need to specialize at one position for longevity",6-0,188,4.4,
Abdul Carter,"Carter is a modern prototype linebacker with exceptional athletic traits and versatility. His combination of size, speed, and explosive power makes him a true three-down defender. Carter possesses sideline-to-sideline range and closing burst that allows him to excel in pursuit and as a blitzer. He displays natural instincts diagnosing plays and sifting through traffic to find the ball carrier. In coverage, he demonstrates fluid movement skills and the athleticism to match up with tight ends and running backs. His physicality at the point of attack and tackling power generate consistent impact plays.","Elite athleticism, explosive power, sideline-to-sideline range, blitzing ability, tackling power, scheme versatility, natural play recognition, coverage potential","Can be overaggressive at times leading to overshooting gaps, still developing consistency in pass coverage technique, occasional missed tackles due to attacking too aggressively",6-3,250,4.48,
Mason Graham,"Graham is a disruptive interior defensive lineman with an impressive blend of power, quickness, and technical refinement. He excels at creating penetration with initial quickness and hand usage that belies his youth. Graham demonstrates excellent lateral agility to work across the face of blockers while maintaining leverage. His natural power at the point of attack allows him to reset the line of scrimmage in the run game, and he complements this with a developing array of pass rush moves. Graham shows advanced hand technique and the ability to counter when his initial move is stopped.","Explosive first step, natural power, advanced hand technique, leverage awareness, lateral agility, developed pass rush plan, high motor, scheme versatility","Occasional inconsistency maintaining gap discipline, can improve arm extension when two-gapping, still developing counter moves when initial rush is stalled",6-4,296,5.1,
Ashton Jeanty,"Jeanty is an explosive, compact running back with exceptional contact balance and big-play ability. Despite his shorter stature, he runs with tremendous power and has a low center of gravity that makes him difficult to bring down. Jeanty possesses outstanding burst through the hole and accelerates quickly to top speed. His vision and patience allow him to set up blocks effectively, and he has the lateral agility to make sharp cuts without losing momentum. In the open field, he displays breakaway speed and the ability to turn routine plays into explosive gains.","Elite contact balance, exceptional burst, tackle-breaking ability, vision, lateral agility, receiving skills, pass protection technique, competitive toughness","Lacks prototypical height, occasionally runs too upright making himself a larger target, could improve route tree diversity as a receiver",5-8,211,4.42,
Will Campbell,"Campbell is a technically refined offensive tackle with excellent athleticism and competitive toughness. A starter from his freshman year, he displays advanced hand placement and timing in pass protection. Campbell possesses the lateral agility to mirror speed rushers while maintaining proper depth in his kick-slide. His anchor strength allows him to absorb power rushes without giving ground. In the run game, Campbell demonstrates good initial quickness off the ball and the mobility to execute reach blocks and work to the second level.","Advanced technical refinement, excellent lateral mobility, strong anchor, hand placement and timing, second-level athleticism, mean streak, high football IQ, finishing mentality","Occasional inconsistency with hand placement when facing elite speed, can get overextended when aggressive in the run game, could improve body positioning on angle blocks",6-6,319,4.98,9.91
Cameron Ward,"Ward is a dynamic quarterback with special arm talent and creativity outside the pocket. He possesses elite arm elasticity, able to throw from various platforms and arm angles without sacrificing accuracy or velocity. His release is lightning quick, allowing him to beat defensive windows that many quarterbacks can't access. Ward demonstrates excellent pocket awareness and escapability, maintaining his eyes downfield while evading pressure. His playmaking ability extends beyond structure, showing remarkable poise and precision when plays break down.","Elite arm talent, quick release, exceptional creativity, pocket mobility, off-platform throwing ability, downfield accuracy, competitive toughness, off-script playmaking","Occasional hero-ball tendencies leading to unnecessary risks, still developing full-field progressions, can improve pre-snap recognition and protections, footwork can be inconsistent when pressured",6-2,219,4.87,
Will Johnson,"Johnson is a prototype boundary cornerback with exceptional size, length, and athleticism. His combination of physical traits and technical refinement makes him one of the premier defenders in college football. Johnson displays excellent pattern recognition and route anticipation, often jumping passes before receivers make their breaks. In press coverage, he uses his length and strength effectively to disrupt timing at the line of scrimmage without getting grabby. His fluid hip turn and transition ability are remarkable for a corner of his size.","Ideal size and length, elite fluidity for his size, exceptional ball skills, route recognition, press technique, tackling ability, competitive mindset, scheme versatility","Occasionally relies too much on physical talent rather than technique, can improve consistency in zone coverage drops, sometimes takes calculated risks that NFL quarterbacks might exploit",6-2,194,4.39,
Tetairoa McMillan,"McMillan is a physically imposing receiver with rare size and an exceptional catch radius. His frame combined with long arms and massive hands make him virtually unguardable in contested catch situations. McMillan possesses surprising fluidity and route-running sophistication for a receiver of his size, showing the ability to sink his hips and make sharp cuts. He creates separation with a combination of physicality, savvy footwork, and subtle push-offs at the top of routes. At the catch point, McMillan displays elite body control.","Elite size and length, exceptional catch radius, contested catch ability, body control, route sophistication for size, red zone effectiveness, physicality, reliable hands","Still developing as a route runner against press coverage, occasionally rounds off breaks, can improve releasing against physical corners, top-end speed is good but not elite",6-4,219,4.5,
Tyler Warren,"Warren is a versatile modern tight end with impressive athleticism and a diverse skill set. A former quarterback, he brings unique positional understanding and ball skills to the tight end position. Warren is a fluid route runner who creates separation with sharp breaks and subtle moves at the top of routes. He demonstrates reliable hands and body control to make catches outside his frame. Warren's athleticism allows him to be a vertical threat up the seam, with the speed to stretch defenses and create mismatches against linebackers and safeties.","Versatile alignment options, route-running nuance, reliable hands, seam-stretching ability, improved blocking technique, positional intelligence, yards-after-catch ability, red zone threat","Still adding functional strength for inline blocking against NFL defensive ends, occasionally body catches rather than extending for passes, can improve route detail against zone coverage",6-6,256,4.68,
Jalon Walker,"Walker is an explosive, modern linebacker with exceptional athletic traits and versatility. Coming from Georgia's NFL pipeline, he shows refined technique and positional understanding well beyond his years. Walker demonstrates sideline-to-sideline range and closing speed that make him a weapon in pursuit. His change-of-direction ability and hip fluidity allow him to excel in coverage, where he shows natural instincts in zone and the athleticism to match up in man coverage. Walker's blitzing ability is a significant asset.","Elite athleticism, exceptional closing burst, coverage ability, blitzing prowess, processing speed, tackling technique, scheme versatility, football intelligence, competitive toughness","Still developing consistency taking on offensive linemen at the point of attack, occasionally takes false steps in run fits, can improve block destruction technique in traffic",6-1,243,4.5,
Kelvin Banks Jr,"Banks is a cornerstone offensive tackle with rare athletic traits for his size. He shows advanced technical development with hand placement, footwork, and leverage that belies his age. In pass protection, Banks demonstrates a smooth, controlled kick slide with the lateral agility to mirror speed rushers. His anchor strength is exceptional, allowing him to absorb power rushes without giving ground. In the run game, Banks moves defenders off the ball with natural power and leg drive. He's athletic enough to work to the second level and connect on linebackers.","Exceptional size-athleticism combination, advanced technical refinement, strong anchor, lateral agility, powerful drive blocker, football intelligence, positional versatility, competitive toughness","Can improve hand placement consistency when facing elite speed rushers, occasionally loses leverage when blocking in space, needs to maintain consistent pad level throughout games",6-5,315,5.16,8.31
Armand Membou,"Membou is a physical, technically sound offensive lineman with positional versatility along the offensive front. He displays impressive strength at the point of attack with the ability to displace defenders in the run game. In pass protection, Membou shows good lateral mobility and a strong anchor to absorb bull rushes. His hand placement is consistently inside, and he resets effectively when defenders try to disengage. Membou demonstrates the football IQ to identify stunts and blitzes, communicating well with his linemates.","Powerful base, strong hands, technical consistency, position versatility, run blocking strength, awareness of stunts and blitzes, reliable pass protection, finishing mentality","Athletic limitations against elite edge speed, can improve body control in space at the second level, occasionally plays too high affecting leverage",6-4,332,4.91,9.9
Shedeur Sanders,"Sanders is a cerebral quarterback with advanced processing skills and surgical accuracy. He operates with the poise and command of a veteran, showing complete understanding of offensive concepts and defensive structures. Sanders excels at working through progressions quickly and delivering accurate throws with anticipation. His arm talent allows him to make all the required NFL throws, with special touch on intermediate routes and deep balls. Sanders shows excellent pocket management, climbing when necessary and sliding to find throwing lanes.","Elite processing speed, exceptional accuracy, anticipatory throwing ability, pocket movement, leadership qualities, football intelligence, touch thrower, command of offense","Athletic limitations as a runner, occasionally takes unnecessary sacks trying to extend plays, can improve arm strength on deep boundary throws, needs to improve decision-making under pressure",6-2,212,4.68,
Mykel Williams,"Williams is a versatile defensive front disruptor with exceptional physical traits and developing technical refinement. His combination of length, burst, and power makes him a three-down defender who can affect the game in multiple ways. Against the run, Williams sets a strong edge with the power to reset the line of scrimmage. His first-step quickness and flexibility allow him to penetrate gaps and disrupt plays in the backfield. As a pass rusher, Williams shows a developing array of moves with the bend and speed to win around the edge.","Explosive first step, positional versatility, length and strength combination, developing pass rush repertoire, run-stopping ability, high motor, scheme versatility, three-down potential","Still developing hand technique consistency in pass rush, occasional lapses in gap discipline, can improve counter moves when initial rush is stalled",6-5,260,4.65,
Colston Loveland,"Loveland is a dynamic, new-age tight end with exceptional receiving skills and developing blocking ability. He displays rare athleticism for the position, with the route-running fluidity of a wide receiver. Loveland creates separation with sharp cuts and subtle deception at the top of routes. His hands are reliable, with the ability to make contested catches and adjust to balls thrown outside his frame. After the catch, Loveland shows impressive speed and elusiveness for his size, turning short completions into big gains.","Athletic receiving threat, smooth route runner, reliable hands, seam-stretcher, red zone target, yards-after-catch ability, improving as a blocker, positional versatility","Still developing as an inline blocker against defensive ends, occasionally telegraphs routes, needs to improve play strength at the point of attack, can be more physical in contested catch situations",6-6,248,4.7,
Jahdae Barron,"Barron is an instinctive, athletic cornerback with exceptional playmaking ability and versatility in the secondary. He possesses outstanding short-area quickness and change-of-direction skills, allowing him to mirror receivers in man coverage. Barron shows natural route recognition in zone, jumping patterns with anticipation and closing quickly on throws. His ball skills are exceptional, with the ability to high-point passes and the hands to secure interceptions. In run support, Barron takes proper angles and tackles with good form despite his smaller frame.","Elite short-area quickness, exceptional route recognition, ball skills, tackling technique, blitzing ability, versatility in coverage, competitive toughness, instinctive playmaker","Lacks ideal size for outside corner position, occasionally overaggressive in jumping routes, can improve technique against bigger receivers at the catch point",5-11,194,4.39,8.62
Josh Simmons,"Simmons is an athletic offensive tackle with ideal physical traits and developing technical refinement. He possesses exceptional movement skills for his size, with the lateral agility to mirror speed rushers and recover when beaten initially. In pass protection, Simmons shows a smooth kick slide and the length to keep defenders at bay. His anchor strength continues to develop, allowing him to absorb power rushes. In the run game, Simmons demonstrates good initial quickness and the ability to work to the second level.","Athletic movement skills, length, lateral agility, smooth kick slide, second level mobility, developing power, recovery ability, positional upside","Still refining hand technique in pass protection, occasionally plays too upright affecting leverage, needs to improve hand placement consistency, developing play strength",6-5,317,5.15,
Shemar Stewart,"Stewart is a powerful edge defender with exceptional physical tools and versatility along the defensive front. He possesses an impressive combination of size, strength, and explosiveness that allows him to set a firm edge against the run and collapse the pocket as a pass rusher. Stewart demonstrates good hand technique with the strength to shed blocks and the agility to work across the face of offensive linemen. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority.","Powerful frame, explosive first step, point-of-attack strength, versatility along the defensive front, run-stopping ability, developing pass rush, high motor, scheme flexibility","Still developing as a pass rusher, needs more consistent hand usage, can improve bend around the edge, occasionally plays too high giving up leverage",6-5,267,4.59,10
James Pearce Jr,"Pearce is an explosive edge rusher with exceptional get-off and bend around the corner. His first-step quickness allows him to consistently pressure offensive tackles before they can set, and his ankle flexibility to flatten to the quarterback is elite. Pearce converts speed to power effectively despite his leaner frame, showing the ability to drive tackles back with bull rushes when they overset for his speed. His hand usage continues to develop, with improving technique to disengage from blocks.","Elite first-step explosion, exceptional bend and flexibility, speed-to-power conversion, closing burst to the quarterback, developing hand technique, pass rush instincts, pursuit effort","Still adding functional strength particularly against the run, needs to improve anchoring against double teams, developing a more diverse pass rush arsenal",6-5,245,4.47,9.4
Kenneth Grant,"Grant is a mountain of a man in the middle with surprising athleticism for his massive frame. He demonstrates exceptional power at the point of attack, effectively anchoring against double teams and resetting the line of scrimmage in the run game. Grant shows impressive short-area quickness and hand usage to defeat blocks and make plays in the backfield. As a pass rusher, he pushes the pocket effectively with bull rushes and is developing more refined moves to complement his power game.","Exceptional size and power, immovable anchor against double teams, surprising quickness for size, disruptive in run game, developing pass rush, strong hands, gap control, space-eating ability","Limited range outside the tackle box, still developing stamina for consistent three-down impact, can improve pass rush repertoire beyond power moves",6-4,331,4.95,7.17
Walter Nolen,"Nolen is a disruptive interior defender with elite physical traits and rapidly developing technical skill. He possesses exceptional first-step quickness and power, allowing him to penetrate gaps and collapse the pocket consistently. Nolen demonstrates advanced hand usage and leverage awareness beyond his years, effectively shedding blocks to make plays in the backfield. His motor runs hot, pursuing plays with relentless effort and finishing with authority. In run defense, Nolen anchors effectively against double teams and maintains gap integrity.","Elite first-step quickness, penetration ability, power at point of attack, advanced hand usage, block shedding, motor, versatility along defensive line, playmaking ability","Occasional inconsistency with pad level, can improve lateral pursuit range, still developing counter moves when initial rush is stalled",6-4,296,4.95,
Matthew Golden,"Golden is a dynamic receiving threat with exceptional playmaking ability after the catch. He possesses impressive speed and acceleration, with the burst to separate from defenders vertically and create big plays. Golden runs crisp routes with attention to detail, showing the ability to set up defenders with subtle head fakes and body movements. His hands are reliable, catching the ball cleanly away from his body. After the catch, Golden is electric with the ball in his hands, showcasing elusiveness and contact balance to break tackles.","Explosive acceleration, route-running precision, reliable hands, dynamic after-catch ability, vertical threat, competitive toughness, positional versatility, return ability","Still developing physical strength against press coverage, occasionally body catches instead of using hands, can improve consistency on contested catches",5-11,191,4.29,
Mike Green,"Green is a versatile defensive back with the skill set to excel at multiple positions in the secondary. He displays exceptional awareness and processing speed, quickly diagnosing plays and taking proper angles in pursuit. In coverage, Green shows fluid hip turn and transition ability, with the speed to carry receivers vertically and the quickness to close on underneath routes. His tackling is technically sound, breaking down in space and delivering pop on contact. Green's football IQ stands out, rarely finding himself out of position.","Positional versatility, play recognition, coverage versatility, tackling technique, ball skills, football intelligence, man and zone ability, blitzing potential","Could add functional strength for durability at the next level, occasionally overaggressive in coverage jumps, can improve shedding blocks in run support",6-3,251,4.57,
Luther Burden III,"Burden is an electric playmaker with exceptional athleticism and route-running sophistication. He possesses elite short-area quickness and change-of-direction ability, making him nearly impossible to cover in one-on-one situations. Burden creates separation with precise footwork and sudden breaks at the top of routes. His hands are reliable, with the concentration to make difficult catches in traffic. After the catch, Burden transforms into a running back, with the vision, elusiveness, and contact balance to create explosive plays.","Elite short-area quickness, route-running precision, reliable hands, exceptional after-catch ability, positional versatility, return game value, competitive toughness, playmaking instincts","Size limitations may affect contested catch ability against larger NFL corners, still developing as a blocker in the run game, occasional body catching rather than plucking with hands",6-0,206,4.41,
Malaki Starks,"Starks is an elite safety prospect with exceptional range, instincts, and versatility. He possesses outstanding speed and acceleration, allowing him to cover ground quickly and close on receivers from depth. Starks processes information rapidly, reading quarterbacks' eyes and breaking on passes with anticipation. His tackling is technically sound, taking proper angles and finishing with authority. In man coverage, Starks has the athleticism to match up with tight ends and slot receivers. His ball skills are excellent, with the timing and body control to high-point passes.","Elite range and closing speed, exceptional instincts, secure tackler, man coverage ability, ball skills, positional versatility, play recognition, competitive toughness","Occasional overaggression leads to false steps, still developing in the box against the run, can improve taking on blockers when playing close to the line of scrimmage",6-1,197,4.5,5.29
Jihaad Campbell,"Campbell is an athletic, versatile linebacker with sideline-to-sideline range and playmaking ability. He possesses exceptional speed and explosiveness for the position, allowing him to excel in pursuit and as a blitzer. Campbell demonstrates fluid movement skills in coverage, with the ability to match up with running backs and tight ends in man coverage and the awareness to pattern-match in zone. His processing continues to develop, showing improved play recognition and trigger. Campbell takes on blocks effectively with strong hands to disengage.","Elite athleticism, exceptional range, coverage versatility, blitzing ability, tackling in space, pursuit speed, positional flexibility, developmental upside","Still developing play recognition consistency, occasional false steps in run fits, can improve block destruction, developing feel in zone coverage",6-3,235,4.52,9.87
Nick Emmanwori,"Emmanwori is a versatile defensive back with excellent size, athleticism, and playmaking instincts. He possesses the range and ball skills to excel at safety and the coverage ability to match up with receivers in the slot. Emmanwori displays natural play recognition, quickly diagnosing runs versus passes and triggering downhill. His tackling is a strength, taking proper angles and finishing with physicality. In coverage, Emmanwori shows good route awareness and the ability to anticipate breaks.","Positional versatility, size-speed combination, tackling ability, play recognition, ball skills, range, physical style of play, blitzing potential","Still developing man coverage technique, occasional overaggression leads to missed tackles, can improve consistency in deep zone landmarks",6-3,220,4.38,10
Derrick Harmon,"Harmon is a massive interior defensive lineman with surprising quickness and disruptive ability. He possesses exceptional size and power, effectively anchoring against double teams and controlling gaps in the run game. Harmon shows good first-step quickness for his size, with the ability to shoot gaps and penetrate into the backfield. His hand usage is developing, showing improved technique to shed blocks and affect the passer. Harmon's motor runs consistently, pursuing plays with effort and finishing tackles with authority.","Exceptional size and power, run-stuffing ability, surprising quickness, block shedding, gap control, developing pass rush, disruptive potential, motor","Limited range outside the tackle box, still developing pass rush moves beyond bull rush, inconsistent pad level affects leverage, needs improved stamina for three-down impact",6-4,313,4.95,
Tyler Booker,"Booker is a powerful interior offensive lineman with impressive athletic traits and technical refinement. He displays exceptional strength at the point of attack, moving defenders in the run game with powerful drive blocking. In pass protection, Booker shows a strong anchor and good lateral mobility to mirror interior rushers. His hand placement is consistently inside, and he resets effectively when defenders try to disengage. Booker demonstrates excellent awareness of stunts and blitzes, working well in combination with his fellow linemen.","Powerful base, technical refinement, hand placement, awareness of stunts/blitzes, drive blocking ability, strong anchor, competitive toughness, finishing mentality","Athletic limitations against elite quickness, occasionally plays too high affecting leverage, can improve body control working to the second level",6-5,321,5.38,3.68
Emeka Egbuka,"Egbuka is a polished receiver with excellent route-running precision and reliable hands. He creates separation with detailed footwork and subtle body manipulation at the top of routes. Egbuka displays outstanding body control and adjustment to the ball in the air, making difficult catches look routine. His hands are exceptional, rarely dropping catchable passes and plucking the ball away from his frame. After the catch, Egbuka shows good vision and enough elusiveness to create additional yardage. His football intelligence is evident in how he finds soft spots against zone coverage.","Route-running precision, reliable hands, body control, football intelligence, release package, zone coverage awareness, positional versatility, competitive toughness","Lacks elite top-end speed, occasionally struggles against physical press coverage, could improve play strength, yards after catch ability is good not great",6-1,202,4.3,9.72
